customer_id,product_id,interaction_type,interaction_date,rating
CUST003305,PROD0020,clicked,2025-02-14,4
CUST002581,PROD0023,clicked,2025-11-05,1
CUST003450,PROD0001,viewed,2025-11-02,3
CUST001423,PROD0007,viewed,2024-10-29,2
CUST004656,PROD0014,viewed,2024-04-25,2
CUST003960,PROD0017,clicked,2025-05-08,3
CUST001683,PROD0001,viewed,2025-03-23,2
CUST000289,PROD0004,viewed,2024-05-25,1
CUST000309,PROD0002,viewed,2024-11-14,2
CUST000064,PROD0016,purchased,2024-04-16,5
CUST001450,PROD0012,viewed,2024-04-29,2
CUST001589,PROD0010,applied,2025-11-14,4
CUST002757,PROD0017,viewed,2024-08-12,1
CUST003958,PROD0016,purchased,2025-01-22,4
CUST002427,PROD0014,viewed,2024-05-19,2
CUST004381,PROD0017,viewed,2024-04-01,1
CUST001104,PROD0017,viewed,2024-07-09,3
CUST000416,PROD0012,clicked,2025-06-30,3
CUST004225,PROD0018,clicked,2024-06-02,1
CUST000812,PROD0016,viewed,2024-05-06,4
CUST001906,PROD0022,clicked,2024-09-11,2
CUST003253,PROD0006,viewed,2025-03-16,1
CUST001454,PROD0024,purchased,2025-06-21,4
CUST003614,PROD0006,clicked,2024-06-16,3
CUST003636,PROD0004,viewed,2024-09-19,4
CUST000184,PROD0008,clicked,2024-03-18,4
CUST004327,PROD0021,purchased,2024-07-25,4
CUST001445,PROD0014,applied,2025-09-21,1
CUST002763,PROD0021,viewed,2024-07-12,2
CUST003146,PROD0001,purchased,2024-06-14,4
CUST001310,PROD0025,clicked,2024-01-20,1
CUST002130,PROD0018,viewed,2025-01-03,3
CUST004631,PROD0012,viewed,2025-01-06,2
CUST000558,PROD0024,viewed,2024-12-20,2
CUST000825,PROD0008,viewed,2025-07-19,1
CUST004926,PROD0004,clicked,2024-05-07,4
CUST002756,PROD0010,purchased,2024-01-12,5
CUST002575,PROD0001,applied,2024-07-17,2
CUST002151,PROD0023,purchased,2024-01-24,5
CUST000386,PROD0013,viewed,2024-04-30,4
CUST000957,PROD0019,viewed,2024-05-29,4
CUST002983,PROD0001,purchased,2024-10-27,5
CUST000999,PROD0017,purchased,2024-06-27,4
