customer_id,age,income,credit_score,loan_amount,interest_rate,loan_term,employment_years,num_existing_loans,savings_balance,debt_to_income_ratio,monthly_payment,payment_to_income_ratio,credit_utilization,loan_to_income_ratio,credit_risk_band,repayment_status
CUST000001,45,61299.16,668,39680.42,9.71,72,8,0,46005.06,0.6473,729.32,0.1428,0.245,0.6473,medium,0
CUST000002,46,97281.43,661,23377.23,9.59,72,22,4,29433.22,0.2403,428.27,0.0528,0.376,0.2403,medium,0
CUST000003,24,99772.29,741,20298.77,9.6,48,1,0,29196.39,0.2035,510.94,0.0615,0.901,0.2035,low,0
CUST000004,63,62576.93,642,20344.42,10.66,72,29,1,22190.54,0.3251,383.7,0.0736,0.31,0.3251,medium,0
CUST000005,59,54659.76,526,9557.19,12.77,60,25,2,16519.21,0.1748,216.33,0.0475,0.948,0.1748,high,0
CUST000006,25,38061.96,598,32485.48,12.62,24,1,3,28008.67,0.8535,1538.63,0.4851,0.427,0.8535,medium,0
CUST000007,38,32577.89,567,64821.28,13.57,84,0,0,27168.88,1.9897,1199.41,0.4418,0.556,1.9897,high,0
CUST000008,29,44284.97,685,11443.2,9.18,24,7,0,50789.91,0.2584,523.73,0.1419,0.844,0.2584,medium,0
CUST000009,33,38369.87,688,13485.95,9.76,12,10,2,39057.45,0.3515,1184.12,0.3703,0.532,0.3515,medium,0
CUST000010,32,58050.24,631,22583.7,11.0,84,8,0,42886.72,0.389,386.69,0.0799,0.515,0.389,medium,0
CUST000011,41,37392.75,828,26686.19,6.16,24,18,0,5552.88,0.7137,1184.67,0.3802,0.513,0.7137,low,0
CUST000012,30,30455.75,745,12932.44,7.49,48,8,1,10806.16,0.4246,312.63,0.1232,0.842,0.4246,low,0
CUST000013,56,53851.67,523,12125.77,13.81,72,12,2,27401.95,0.2252,248.63,0.0554,0.671,0.2252,high,0
CUST000014,50,53561.59,739,29816.61,7.58,24,2,2,3973.7,0.5567,1342.82,0.3008,0.571,0.5567,low,0
CUST000015,62,46534.92,655,11079.89,9.08,12,2,2,6118.69,0.2381,969.36,0.25,0.302,0.2381,medium,0
CUST000016,30,35456.79,643,50730.03,11.31,60,7,1,33765.94,1.4308,1110.85,0.376,0.786,1.4308,medium,0
CUST000017,49,57218.25,538,32677.77,12.3,48,14,0,47168.96,0.5711,865.35,0.1815,0.937,0.5711,high,0
CUST000018,43,41221.41,625,38832.23,11.9,12,7,1,11077.85,0.942,3448.38,1.0039,0.481,0.942,medium,0
CUST000019,37,77959.89,754,16260.1,9.54,12,14,4,12675.89,0.2086,1426.04,0.2195,0.654,0.2086,low,0
CUST000020,27,42653.07,706,48306.77,10.66,84,1,1,22067.68,1.1326,818.52,0.2303,0.509,1.1326,low,0
CUST000021,32,39512.47,665,13852.2,9.84,48,4,3,14937.16,0.3506,350.26,0.1064,0.692,0.3506,medium,0
CUST000022,64,28615.59,745,60702.73,9.26,24,12,2,8594.87,2.1213,2780.44,1.166,0.15,2.1213,low,0
CUST000023,42,47457.77,760,33422.4,6.97,60,15,4,52549.76,0.7043,661.33,0.1672,0.551,0.7043,low,0
CUST000024,33,36669.33,708,67698.68,8.05,12,10,1,18860.57,1.8462,5890.57,1.9277,0.9,1.8462,low,0
CUST000025,24,48236.84,805,5586.75,7.76,48,2,4,33766.32,0.1158,135.76,0.0338,0.369,0.1158,low,0
CUST000026,42,70958.9,686,22484.82,9.0,48,4,2,40858.72,0.3169,559.54,0.0946,0.89,0.3169,medium,0
CUST000027,61,51087.36,520,23581.01,14.6,12,4,4,15077.28,0.4616,2123.93,0.4989,0.325,0.4616,high,0
CUST000028,37,57566.76,798,19713.08,7.15,24,14,4,49453.93,0.3424,883.95,0.1843,0.62,0.3424,low,0
CUST000029,22,34070.18,639,46594.66,11.22,60,1,0,38491.45,1.3676,1018.2,0.3586,0.214,1.3676,medium,0
CUST000030,57,56836.73,637,36605.74,9.73,36,13,2,16149.41,0.6441,1176.53,0.2484,0.639,0.6441,medium,0
