customer_id,transaction_id,transaction_amount,transaction_type,transaction_date,channel
CUST003164,TXN00000001,67426.29,deposit,2025-11-12,net_banking
CUST003502,TXN00000002,17504.6,deposit,2024-09-07,mobile
CUST002156,TXN00000003,59337.76,deposit,2023-12-24,mobile
CUST004691,TXN00000004,16242.96,transfer,2025-05-10,atm
CUST002223,TXN00000005,24915.54,deposit,2024-06-16,branch
CUST001866,TXN00000006,30623.32,withdrawal,2024-04-22,atm
CUST004404,TXN00000007,47603.05,withdrawal,2024-02-20,atm
CUST001130,TXN00000008,36661.29,deposit,2025-10-23,atm
CUST001530,TXN00000009,65957.81,withdrawal,2023-05-04,mobile
CUST002953,TXN00000010,24862.21,withdrawal,2023-04-17,net_banking
CUST001645,TXN00000011,50406.15,withdrawal,2023-11-26,atm
CUST001194,TXN00000012,3316.9,withdrawal,2025-03-27,branch
CUST000429,TXN00000013,5255.73,transfer,2024-08-07,atm
CUST000298,TXN00000014,10847.21,withdrawal,2023-03-16,branch
CUST000053,TXN00000015,8007.43,deposit,2024-10-23,net_banking
CUST002784,TXN00000016,20960.97,payment,2023-04-22,branch
CUST003888,TXN00000017,56342.29,payment,2023-09-24,atm
CUST002443,TXN00000018,10384.46,payment,2023-01-09,net_banking
CUST001482,TXN00000019,6820.63,payment,2025-11-03,atm
CUST001618,TXN00000020,38544.1,deposit,2023-08-12,atm
CUST003251,TXN00000021,25553.73,withdrawal,2023-08-06,branch
CUST003666,TXN00000022,57835.76,deposit,2023-05-15,branch
CUST004053,TXN00000023,37902.1,deposit,2023-10-28,net_banking
CUST000275,TXN00000024,2173.37,atm,2025-07-27,atm
CUST002108,TXN00000025,88062.1,deposit,2025-04-27,net_banking
CUST001149,TXN00000026,46542.64,payment,2023-05-05,net_banking
CUST001577,TXN00000027,96889.71,deposit,2024-06-23,branch
CUST000670,TXN00000028,5329.28,atm,2024-12-22,mobile
CUST004501,TXN00000029,15056.27,withdrawal,2025-10-07,net_banking
CUST004619,TXN00000030,4387.31,payment,2023-05-23,net_banking
CUST002648,TXN00000031,72010.38,deposit,2023-12-04,mobile
CUST000408,TXN00000032,7019.19,payment,2024-07-14,mobile
CUST000168,TXN00000033,17984.55,payment,2023-10-02,atm
CUST003752,TXN00000034,17547.52,transfer,2024-04-10,mobile
CUST001192,TXN00000035,16310.98,withdrawal,2025-12-11,atm
CUST004087,TXN00000036,48656.54,transfer,2023-04-21,net_banking
CUST003871,TXN00000037,6500.67,payment,2025-03-16,net_banking
CUST003939,TXN00000038,101867.68,deposit,2025-11-10,mobile
CUST002424,TXN00000039,60663.83,deposit,2023-06-02,branch
CUST000264,TXN00000040,11267.11,withdrawal,2023-12-22,mobile
CUST004743,TXN00000041,3362.47,withdrawal,2023-09-26,branch
CUST001055,TXN00000042,17169.01,withdrawal,2025-08-20,branch
CUST001475,TXN00000043,14954.7,deposit,2025-01-14,atm
CUST004619,TXN00000044,5306.67,withdrawal,2025-12-18,net_banking
CUST001873,TXN00000045,134890.27,deposit,2024-12-18,branch
CUST001208,TXN00000046,2443.47,atm,2024-06-27,net_banking
CUST000458,TXN00000047,3222.02,transfer,2023-02-11,atm
CUST001774,TXN00000048,72594.78,deposit,2024-08-21,mobile
CUST002644,TXN00000049,32360.88,payment,2024-07-05,net_banking
CUST000169,TXN00000050,11252.76,transfer,2023-09-10,mobile
CUST004285,TXN00000051,79270.97,deposit,2024-01-09,atm
CUST002528,TXN00000052,4939.4,transfer,2023-06-11,net_banking
CUST002098,TXN00000053,46799.64,deposit,2024-03-21,atm
CUST003734,TXN00000054,7934.26,deposit,2025-06-28,branch
CUST003040,TXN00000055,35882.29,payment,2023-09-24,atm
CUST001781,TXN00000056,57411.97,deposit,2024-02-19,mobile
CUST003502,TXN00000057,22376.56,deposit,2025-10-12,branch
CUST002092,TXN00000058,1719.99,transfer,2024-05-09,atm
CUST004951,TXN00000059,25712.25,payment,2023-11-30,mobile
CUST004825,TXN00000060,15603.47,transfer,2023-08-11,net_banking
CUST002966,TXN00000061,12019.99,deposit,2024-04-04,net_banking
CUST003706,TXN00000062,1959.31,atm,2023-12-06,atm
CUST001203,TXN00000063,680.96,transfer,2024-12-21,branch
CUST002587,TXN00000064,9606.45,transfer,2024-08-04,atm
CUST004452,TXN00000065,71603.24,payment,2025-01-09,net_banking
CUST001835,TXN00000066,30336.75,deposit,2025-07-02,mobile
CUST000584,TXN00000067,5564.54,transfer,2025-10-10,net_banking
CUST003137,TXN00000068,21356.27,payment,2023-07-14,atm
CUST003109,TXN00000069,675.98,withdrawal,2023-02-11,branch
CUST000356,TXN00000070,33589.37,deposit,2024-12-31,atm
CUST000463,TXN00000071,17459.84,transfer,2024-10-28,mobile
CUST004201,TXN00000072,2791.37,payment,2025-05-13,mobile
CUST000783,TXN00000073,325.89,transfer,2025-10-12,atm
CUST004900,TXN00000074,60984.78,deposit,2023-12-10,atm
CUST002351,TXN00000075,47019.94,transfer,2024-01-02,atm
CUST004224,TXN00000076,8873.04,transfer,2023-06-07,net_banking
CUST001340,TXN00000077,14783.39,transfer,2025-10-04,mobile
CUST000216,TXN00000078,8271.4,withdrawal,2023-07-18,net_banking
CUST002456,TXN00000079,76888.12,deposit,2023-08-24,atm
CUST002214,TXN00000080,99431.03,deposit,2025-02-26,mobile
CUST002153,TXN00000081,3014.64,transfer,2023-10-16,atm
CUST003660,TXN00000082,2276.61,payment,2024-04-13,atm
CUST004325,TXN00000083,20954.48,deposit,2023-08-13,mobile
CUST002864,TXN00000084,112408.01,deposit,2024-01-28,branch
CUST004353,TXN00000085,837.04,withdrawal,2024-12-28,branch
CUST002244,TXN00000086,56997.39,deposit,2023-06-08,atm
CUST003297,TXN00000087,41719.69,transfer,2023-07-08,net_banking
CUST000448,TXN00000088,17623.25,transfer,2023-06-16,branch
CUST001519,TXN00000089,13719.4,withdrawal,2024-09-14,atm
CUST003033,TXN00000090,37868.35,withdrawal,2025-03-19,net_banking
CUST003752,TXN00000091,33494.23,payment,2025-09-03,atm
CUST002465,TXN00000092,1534.07,deposit,2025-11-30,net_banking
CUST000173,TXN00000093,12539.62,transfer,2024-05-14,branch
CUST002433,TXN00000094,23157.56,payment,2023-08-29,net_banking
CUST003976,TXN00000095,54999.13,transfer,2025-02-07,net_banking
CUST001805,TXN00000096,18293.25,payment,2023-01-26,net_banking
CUST001670,TXN00000097,14459.5,transfer,2023-01-01,atm
CUST004327,TXN00000098,68828.29,deposit,2024-02-19,branch
CUST004715,TXN00000099,11225.64,payment,2023-04-26,atm
CUST000914,TXN00000100,1721.51,payment,2025-03-24,branch
CUST001805,TXN00000101,7865.6,withdrawal,2023-05-01,net_banking
CUST000971,TXN00000102,63633.21,deposit,2025-08-19,atm
CUST004988,TXN00000103,9523.56,withdrawal,2024-08-06,atm
CUST003631,TXN00000104,68283.51,deposit,2023-04-10,atm
CUST002222,TXN00000105,54142.49,transfer,2023-11-03,mobile
CUST000151,TXN00000106,32217.9,withdrawal,2024-09-28,atm
CUST003706,TXN00000107,36964.5,payment,2023-11-10,net_banking
CUST001776,TXN00000108,46084.94,withdrawal,2025-03-13,atm
CUST001450,TXN00000109,10244.81,withdrawal,2024-04-24,branch
CUST000293,TXN00000110,29995.69,withdrawal,2024-06-11,atm
CUST002728,TXN00000111,4665.18,withdrawal,2024-02-03,mobile
CUST003152,TXN00000112,7815.09,withdrawal,2023-05-15,net_banking
CUST003129,TXN00000113,53242.11,withdrawal,2024-07-21,branch
CUST004389,TXN00000114,76827.51,deposit,2025-04-10,net_banking
CUST004990,TXN00000115,51453.1,transfer,2023-09-01,mobile
CUST003682,TXN00000116,25355.08,deposit,2024-07-24,mobile
CUST001775,TXN00000117,16836.94,transfer,2024-04-27,atm
CUST004413,TXN00000118,30331.62,deposit,2023-05-09,net_banking
CUST000871,TXN00000119,1672.78,withdrawal,2023-02-17,branch
CUST002260,TXN00000120,15629.7,payment,2024-09-17,net_banking
CUST004903,TXN00000121,84975.91,deposit,2023-05-13,net_banking
CUST000805,TXN00000122,5124.46,transfer,2023-11-15,atm
CUST004586,TXN00000123,6225.61,withdrawal,2023-05-29,mobile
CUST003556,TXN00000124,4717.66,transfer,2025-10-22,atm
CUST000410,TXN00000125,34399.2,transfer,2024-08-19,net_banking
CUST000662,TXN00000126,42185.69,withdrawal,2025-03-07,branch
CUST000843,TXN00000127,7317.93,withdrawal,2024-07-23,mobile
CUST000017,TXN00000128,7367.72,withdrawal,2023-03-03,net_banking
CUST004251,TXN00000129,5448.85,transfer,2023-01-24,net_banking
CUST003930,TXN00000130,50159.91,withdrawal,2024-10-22,atm
CUST001448,TXN00000131,470.78,deposit,2024-02-09,branch
CUST002995,TXN00000132,104728.22,deposit,2023-07-09,atm
CUST002848,TXN00000133,10647.51,withdrawal,2023-11-08,net_banking
CUST002489,TXN00000134,11018.35,transfer,2023-07-25,net_banking
CUST004832,TXN00000135,5307.52,atm,2024-03-09,mobile
CUST002973,TXN00000136,20267.66,deposit,2023-10-07,atm
CUST001904,TXN00000137,120636.32,deposit,2023-10-24,atm
CUST003984,TXN00000138,20027.59,transfer,2024-09-18,mobile
CUST003463,TXN00000139,12078.34,withdrawal,2025-01-08,net_banking
CUST002163,TXN00000140,25809.72,deposit,2024-01-08,branch
CUST001975,TXN00000141,83.06,withdrawal,2024-11-25,atm
CUST003322,TXN00000142,40556.3,transfer,2025-01-29,branch
CUST001727,TXN00000143,23184.88,transfer,2025-01-24,mobile
CUST001287,TXN00000144,6255.8,payment,2025-10-29,mobile
CUST004996,TXN00000145,3262.1,withdrawal,2023-12-08,net_banking
CUST001226,TXN00000146,10987.62,transfer,2024-04-25,net_banking
CUST001186,TXN00000147,14155.32,deposit,2025-09-15,atm
